"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"939132","INHD17","DR","INDIABULLS HOUSING LTD 10.03",1188,1,"939132",0,0,0,0,"875IHFL23A","INDIABULLS HOUSING LTD 10.03","","","","","","","","","","",792,1000,"INE148I07RU1",0,0,0,0,"","","","875IHFL23A"
"939134","INHD18","DR","10.25% INDIABULLS HOU. DEC 33",1200,1,"939134",0,0,0,0,"1025IHFL33","10.25% INDIABULLS HOU. DEC 33","","","","","","","","","","",800,1000,"INE148I07RV9",0,0,0,0,"","","","1025IHFL33"
"939136","INHD19","DR","10.75% INDIABULLS HOU. DEC 33",1080,1,"939136",0,0,0,0,"1075IHFL33","10.75% INDIABULLS HOU. DEC 33","","","","","","","","","","",720,1000,"INE148I07RW7",0,0,0,0,"","","","1075IHFL33"
"939138","INHD20","DR","INDIABULLS HOUSING FIN 27DC33",980.7,1,"939138",0,0,0,0,"980IHFL33B","INDIABULLS HOUSING FIN 27DC33","","","","","","","","","","",653.8,1000,"INE148I07RX5",0,0,0,0,"","","","980IHFL33B"
"939140","INHD21","DR","INDIABULLS HOUSING LTD 10.25",1080.36,1,"939140",0,0,0,0,"835IHFL23B","INDIABULLS HOUSING LTD 10.25","","","","","","","","","","",720.24,1000,"INE148I07RZ0",0,0,0,0,"","","","835IHFL23B"
"939355","INHD22","DR","9.48% INDIABULLS HOUSING MAR27",1200,1,"939355",0,0,0,0,"948IHFL27","9.48% INDIABULLS HOUSING MAR27","","","","","","","","","","",800,1000,"INE148I07SI4",0,0,0,0,"","","","948IHFL27"
"939100","INHDB1","DR","9.25% INDIABULLS HOU. DEC 25",1200,1,"939100",0,0,0,0,"925IHFL25H","9.25% INDIABULLS HOU. DEC 25","","","","","","","","","","",800,1000,"INE148I07RC9",0,0,0,0,"","","","925IHFL25H"
"939102","INHDB2","DR","9.65% INDIABULLS HOU. DEC 25",1198.68,1,"939102",0,0,0,0,"965IHFL25B","9.65% INDIABULLS HOU. DEC 25","","","","","","","","","","",799.12,10,"INE148I07RD7",0,0,0,0,"","","","965IHFL25B"
"939104","INHDB3","DR","INDIABULLS HOUSING FIN 27DC25",1200,1,"939104",0,0,0,0,"888IHFL25B","INDIABULLS HOUSING FIN 27DC25","","","","","","","","","","",800,1000,"INE148I07RE5",0,0,0,0,"","","","888IHFL25B"
"939106","INHDB4","DR","INDIABULLS HOUSING LTD 9.25",1164,1,"939106",0,0,0,0,"925IHFL25B","INDIABULLS HOUSING LTD 9.25","","","","","","","","","","",776,1000,"INE148I07RI6",0,0,0,0,"","","","925IHFL25B"
"939108","INHDB5","DR","0% INDIABULLS HOU. 27 DEC 25",1200,1,"939108",0,0,0,0,"IBHFZC25E","0% INDIABULLS HOU. 27 DEC 25","","","","","","","","","","",800,1000,"INE148I07RF2",0,0,0,0,"","","","IBHFZC25E"
"939110","INHDB6","DR","0% INDIABULLS HOU. R DEC 25",1152,1,"939110",0,0,0,0,"IBHFZC25F","0% INDIABULLS HOU. R DEC 25","","","","","","","","","","",768,1000,"INE148I07RK2",0,0,0,0,"","","","IBHFZC25F"
"939112","INHDB7","DR","9.4% INDIABULLS HOU. DEC 26",1200,1,"939112",0,0,0,0,"940IHFL26B","9.4% INDIABULLS HOU. DEC 26","","","","","","","","","","",800,1000,"INE148I07RG0",0,0,0,0,"","","","940IHFL26B"
"939114","INHDB8","DR","9.9% INDIABULLS HOU. DEC 26",1194,1,"939114",0,0,0,0,"990IHFL26B","9.9% INDIABULLS HOU. DEC 26","","","","","","","","","","",796,1000,"INE148I07RN6",0,0,0,0,"","","","990IHFL26B"
"939116","INHDB9","DR","INDIABULLS HOUSING LTD 9.48",1080,1,"939116",0,0,0,0,"948IHFL26B","INDIABULLS HOUSING LTD 9.48","","","","","","","","","","",720,1000,"INE148I07RJ4",0,0,0,0,"","","","948IHFL26B"
"937673","INHN10","DR","8.2% Indiabulls Housing Sep 24",1200,1,"937673",0,0,0,0,"866IHFL24","8.2% Indiabulls Housing Sep 24","","","","","","","","","","",800,1000,"INE148I07KK7",0,0,0,0,"","","","866IHFL24"
