"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"12274","OPTCUR","JPYINR","OPTION","02-Aug-2024",58.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.21,"JPYINR"
"12456","OPTCUR","USDINR","OPTION","02-Aug-2024",80.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.98,3.635,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.3075,"USDINR"
"12490","OPTCUR","USDINR","OPTION","02-Aug-2024",80.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.4825,3.1375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.81,"USDINR"
"12581","OPTCUR","USDINR","OPTION","02-Aug-2024",83.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.1675,0.4225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.295,"USDINR"
"12587","OPTCUR","USDINR","OPTION","02-Aug-2024",83.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.245,0.56,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4025,"USDINR"
"12618","OPTCUR","USDINR","OPTION","02-Aug-2024",86.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.01,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.005,"USDINR"
"12621","OPTCUR","USDINR","OPTION","02-Aug-2024",86.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.61,3.265,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.9375,"USDINR"
"12679","OPTCUR","JPYINR","OPTION","02-Aug-2024",47.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"JPYINR"
"1269","OPTCUR","GBPINR","OPTION","05-Jul-2024",112.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0825,"GBPINR"
"1423","OPTCUR","GBPINR","OPTION","19-Jul-2024",112.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.0575,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.155,"GBPINR"
"1649","OPTCUR","GBPINR","OPTION","27-Mar-2025",112.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.3275,6.7075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.93,"GBPINR"
"1648","OPTCUR","GBPINR","OPTION","27-Mar-2025",112.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",1.4625,2.1475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.2075,"GBPINR"
"1887","OPTCUR","JPYINR","OPTION","26-Jul-2024",47.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.2825,6.5375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.655,"JPYINR"
"1899","FUTCUR","GBPINR","FUTURE","09-Aug-2024",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"Pound-Indian Rupees","","","","",103.2225,109.605,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",106.4125,"GBPINR"
"2035","OPTCUR","EURINR","OPTION","09-Aug-2024",84.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",5.0325,6.5475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.5325,"EURINR"
"2232","OPTCUR","EURINR","OPTION","09-Aug-2024",84.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0075,0.0425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.045,"EURINR"
"2641","OPTCUR","EURINR","OPTION","09-Aug-2024",85.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.6175,5.0725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.345,"EURINR"
"3372","OPTCUR","EURINR","OPTION","09-Aug-2024",88.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.185,0.525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.355,"EURINR"
"3546","OPTCUR","EURINR","OPTION","09-Aug-2024",89.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.935,1.835,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.385,"EURINR"
"3857","OPTCUR","EURINR","OPTION","09-Aug-2024",91.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",1.5925,2.7075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.15,"EURINR"
"3861","OPTCUR","EURINR","OPTION","09-Aug-2024",92.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.205,0.585,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.395,"EURINR"
