Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,976064,1,847BOBPER,847BOBPER,F,0.01,
BSE,976063,1,205SRPL28,205SRPL28,F,0.01,
BSE,976062,1,1090AFPL26,1090AFPL26,F,0.01,
BSE,976061,1,895SISL39,895SISL39,F,0.01,
BSE,976060,1,97DFPL27,97DFPL27,F,0.01,
BSE,976059,1,115VFPL26,115VFPL26,F,0.01,
BSE,976058,1,135NFPL27,135NFPL27,F,0.01,
BSE,976057,1,95SHDF27,95SHDF27,F,0.01,
BSE,976056,1,940AFSL27,940AFSL27,F,0.01,
BSE,976055,1,109ESPL26,109ESPL26,F,0.01,
BSE,976054,1,OPL260924,OPL260924,F,0.01,
BSE,976053,1,106632VC26,106632VC26,F,0.01,
BSE,976052,1,820IUTA130,820IUTA130,F,0.01,
BSE,976051,1,812IUTA127,812IUTA127,F,0.01,
BSE,976050,1,802IUTA126,802IUTA126,F,0.01,
BSE,976049,1,1250SFIS26,1250SFIS26,F,0.01,
BSE,976048,1,11DKGF26,11DKGF26,F,0.01,
BSE,976047,1,0ECAPEL28,0ECAPEL28,F,0.01,
BSE,976046,1,801MMFSL27,801MMFSL27,F,0.01,
BSE,976045,1,893SHFL27,893SHFL27,F,0.01,
BSE,976044,1,1083EIAL26,1083EIAL26,F,0.01,
BSE,976043,1,812DLFCD27,812DLFCD27,F,0.01,
BSE,976042,1,796EOPRT27,796EOPRT27,F,0.01,
BSE,976041,1,80232KDF30,80232KDF30,F,0.01,
BSE,976040,1,1025HFSP27,1025HFSP27,F,0.01,
BSE,976039,1,715HUDCO34,715HUDCO34,F,0.01,
BSE,976038,1,86ABRL27,86ABRL27,F,0.01,
BSE,976037,1,NWFL23924,NWFL23924,F,0.01,
BSE,976036,1,1045MFL32,1045MFL32,F,0.01,
BSE,976035,1,1080SFL26,1080SFL26,F,0.01,
BSE,976034,1,722PFCL31,722PFCL31,F,0.01,
BSE,976033,1,727PFCL31,727PFCL31,F,0.01,
BSE,976032,1,10DKGFSP27,10DKGFSP27,F,0.01,
BSE,976031,1,10DKGFS27,10DKGFS27,F,0.01,
BSE,976030,1,0KPDL34,0KPDL34,F,0.01,
BSE,976029,1,794IHFC29,794IHFC29,F,0.01,
BSE,976028,1,795IHFC27,795IHFC27,F,0.01,
BSE,976027,1,733SBI39,733SBI39,F,0.01,
BSE,976026,1,115SFISP29,115SFISP29,F,0.01,
BSE,976025,1,810DCCDL34,810DCCDL34,F,0.01,
BSE,976024,1,1225MML26,1225MML26,F,0.01,
BSE,976023,1,950IFSL26A,950IFSL26A,F,0.01,
BSE,976022,1,875AVHF029,875AVHF029,F,0.01,
BSE,976021,1,18RHRPL27,18RHRPL27,F,0.01,
BSE,976020,1,0CIPL28,0CIPL28,F,0.01,
BSE,976019,1,1104AFPL26,1104AFPL26,F,0.01,
BSE,976018,1,12MFLAPER,12MFLAPER,F,0.01,
BSE,976017,1,AFSL17924,AFSL17924,F,0.01,
BSE,976016,1,1165VFPL26,1165VFPL26,F,0.01,
BSE,976015,1,925OFSL26,925OFSL26,F,0.01,
BSE,976014,1,12KCPL29,12KCPL29,F,0.01,
BSE,976013,1,82175THD27,82175THD27,F,0.01,
BSE,976012,1,950DHRU30,950DHRU30,F,0.01,
BSE,976011,1,925DHRU30,925DHRU30,F,0.01,
BSE,976010,1,975MMF26,975MMF26,F,0.01,
BSE,976009,1,0APL26,0APL26,F,0.01,
BSE,976008,1,79JDFI26,79JDFI26,F,0.01,
BSE,976007,1,786ABFRL26,786ABFRL26,F,0.01,
BSE,976006,1,925MCSL26A,925MCSL26A,F,0.01,
BSE,976005,1,910SFL34,910SFL34,F,0.01,
BSE,976004,1,803ABHFL29,803ABHFL29,F,0.01,
BSE,976003,1,844RSEPL29,844RSEPL29,F,0.01,
BSE,976002,100000,885SA24T,885SA24T,F,0.01,
BSE,976001,1,875AVHFI29,875AVHFI29,F,0.01,
BSE,976000,1,85GPL29,85GPL29,F,0.01,
BSE,975999,1,736IRED39,736IRED39,F,0.01,
BSE,975998,100000,990CTRST26,990CTRST26,F,0.01,
BSE,975997,1,999ATIT29A,999ATIT29A,F,0.01,
BSE,975996,1,999ATIT29,999ATIT29,F,0.01,
BSE,975995,1,81ABFL29,81ABFL29,F,0.01,
BSE,975994,1,726BOB34,726BOB34,F,0.01,
BSE,975993,1,820PFL29,820PFL29,F,0.01,
BSE,975992,1,980ICCL29,980ICCL29,F,0.01,
BSE,975991,1,903HDFCC26,903HDFCC26,F,0.01,
BSE,975990,1,1075SSFL27,1075SSFL27,F,0.01,
BSE,975989,1,8049ABHF27,8049ABHF27,F,0.01,
BSE,975988,1,745ABL34,745ABL34,F,0.01,
BSE,975987,1,1150NFPL30,1150NFPL30,F,0.01,
BSE,975986,1,925MOFSL32,925MOFSL32,F,0.01,
BSE,975985,1,730PFCL34,730PFCL34,F,0.01,
BSE,975984,1,8857SFL27,8857SFL27,F,0.01,
BSE,975983,1,910PLM28,910PLM28,F,0.01,
BSE,975982,1,925MCSL26,925MCSL26,F,0.01,
BSE,975981,1,772TIL34,772TIL34,F,0.01,
BSE,975980,1,95DHRUVA29,95DHRUVA29,F,0.01,
BSE,975979,1,1137SFIS25,1137SFIS25,F,0.01,
BSE,975978,1,737IIFCL34,737IIFCL34,F,0.01,
BSE,975977,1,108SFL26,108SFL26,F,0.01,
BSE,975976,1,843JSL31,843JSL31,F,0.01,
BSE,975975,1,105CFL26,105CFL26,F,0.01,
BSE,975974,1,835JSL29,835JSL29,F,0.01,
BSE,975973,1,1206FCL27A,1206FCL27A,F,0.01,
BSE,975972,1,1206FCL29,1206FCL29,F,0.01,
BSE,975971,1,OPML290824,OPML290824,F,0.01,
BSE,975970,1,1090SHFL26,1090SHFL26,F,0.01,
BSE,975969,1,8ATIT34,8ATIT34,F,0.01,
BSE,975968,1,855ABREL29,855ABREL29,F,0.01,
BSE,975967,1,835ABREL27,835ABREL27,F,0.01,
BSE,975966,1,1175MFL026,1175MFL026,F,0.01,
BSE,975965,1,1048EFL31,1048EFL31,F,0.01,
BSE,975964,1,NWF290824,NWF290824,F,0.01,
BSE,975963,1,NWFL290824,NWFL290824,F,0.01,
BSE,975962,1,835MFSL26,835MFSL26,F,0.01,
BSE,975961,1,105AFPL26,105AFPL26,F,0.01,
BSE,975960,1,725IRFC34,725IRFC34,F,0.01,
BSE,975959,1,742SBI39,742SBI39,F,0.01,
BSE,975958,1,85AHFL27,85AHFL27,F,0.01,
BSE,975957,1,83ISPDL35,83ISPDL35,F,0.01,
BSE,975956,1,722HPCL29,722HPCL29,F,0.01,
BSE,975955,1,1050NFL27A,1050NFL27A,F,0.01,
BSE,975954,1,10278KCP27,10278KCP27,F,0.01,
BSE,975953,1,87AESL34,87AESL34,F,0.01,
BSE,975952,1,95AFL34,95AFL34,F,0.01,
BSE,975951,1,1075MML26B,1075MML26B,F,0.01,
BSE,975950,1,73BOB34,73BOB34,F,0.01,
BSE,975949,1,731RECL39,731RECL39,F,0.01,
BSE,975948,1,88ABDFV27,88ABDFV27,F,0.01,
BSE,975947,1,20ARRIL26,20ARRIL26,F,0.01,
BSE,975946,1,1040SML26,1040SML26,F,0.01,
BSE,975945,1,99IFSL26,99IFSL26,F,0.01,
BSE,975944,1,21DASPL27,21DASPL27,F,0.01,
BSE,975943,1,1001ACA26,1001ACA26,F,0.01,
BSE,975942,1,11KFL25,11KFL25,F,0.01,
BSE,975941,1,1025SCNL26,1025SCNL26,F,0.01,
BSE,975940,1,732PFCL39,732PFCL39,F,0.01,
BSE,975939,1,1170NGCP27,1170NGCP27,F,0.01,
BSE,975938,1,95IFSL26,95IFSL26,F,0.01,
BSE,975937,1,94AFL27,94AFL27,F,0.01,
BSE,975936,1,125AFIL30,125AFIL30,F,0.01,
BSE,975935,1,1225AFIL27,1225AFIL27,F,0.01,
BSE,975934,1,IFL190824A,IFL190824A,F,0.01,
BSE,975933,1,IFL190824,IFL190824,F,0.01,
BSE,975932,1,12AFIL026,12AFIL026,F,0.01,
BSE,975931,1,12AFIL26,12AFIL26,F,0.01,
BSE,975930,1,12IFL27B,12IFL27B,F,0.01,
BSE,975929,1,12AFIL29,12AFIL29,F,0.01,
BSE,975928,1,1175AFIL27,1175AFIL27,F,0.01,
BSE,975927,1,894SHFL25,894SHFL25,F,0.01,
BSE,975926,1,125ACAPL26,125ACAPL26,F,0.01,
BSE,975925,1,9JMFHL28B,9JMFHL28B,F,0.01,
BSE,975924,1,9JMFHL28A,9JMFHL28A,F,0.01,
BSE,975923,1,9JMFHL27A,9JMFHL27A,F,0.01,
BSE,975922,1,9JMFHL27,9JMFHL27,F,0.01,
BSE,975921,1,975THFPL27,975THFPL27,F,0.01,
BSE,975920,1,795IHFCL27,795IHFCL27,F,0.01,
BSE,975919,1,910MFL26A,910MFL26A,F,0.01,
BSE,975918,1,850FFSL28,850FFSL28,F,0.01,
BSE,975917,1,VCL140824,VCL140824,F,0.01,
BSE,975916,1,99TCP27,99TCP27,F,0.01,
BSE,975915,1,925SKF26A,925SKF26A,F,0.01,
BSE,975914,1,1040NFL26B,1040NFL26B,F,0.01,
BSE,975913,1,1040NFL26A,1040NFL26A,F,0.01,
BSE,975912,1,10SSFL27,10SSFL27,F,0.01,
BSE,975911,1,917NACL25,917NACL25,F,0.01,
BSE,975910,1,965OPML27,965OPML27,F,0.01,
BSE,975909,1,827THDCL27,827THDCL27,F,0.01,
BSE,975908,1,12CSAIPL26,12CSAIPL26,F,0.01,
BSE,975907,1,925VAJRA31,925VAJRA31,F,0.01,
BSE,975906,1,925VAJRA27,925VAJRA27,F,0.01,
BSE,975905,1,EEL130827,EEL130827,F,0.01,
BSE,975904,1,795IIL39,795IIL39,F,0.01,
BSE,975903,1,EEL130826,EEL130826,F,0.01,
BSE,975902,1,8IIDL29,8IIDL29,F,0.01,
BSE,975901,1,925VJRT27,925VJRT27,F,0.01,
BSE,975900,1,736NBFID44,736NBFID44,F,0.01,
BSE,975899,1,805AFL28,805AFL28,F,0.01,
BSE,975898,1,849ABSLI34,849ABSLI34,F,0.01,
BSE,975897,1,975SCL28A,975SCL28A,F,0.01,
BSE,975896,1,0OPL26,0OPL26,F,0.01,
BSE,975895,1,8034ABFL34,8034ABFL34,F,0.01,
BSE,975894,1,825SCPSL34,825SCPSL34,F,0.01,
BSE,975893,1,755RECL26,755RECL26,F,0.01,
BSE,975892,1,985NWFL27,985NWFL27,F,0.01,
BSE,975891,1,80956ABH26,80956ABH26,F,0.01,
BSE,975890,1,799RCFL27,799RCFL27,F,0.01,
BSE,975889,1,785UML27A,785UML27A,F,0.01,
BSE,975888,1,788UML27,788UML27,F,0.01,
BSE,975887,1,1310KCPL27,1310KCPL27,F,0.01,
BSE,975886,1,825MRHF29,825MRHF29,F,0.01,
BSE,975885,1,897MML28,897MML28,F,0.01,
