Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPINR,1067,OPTCUR,PE,107.5,GBPINR,GBPINR22DEC23P107.5,GBPINR 22nd DEC 107.5 PE,2023-12-22,1,0.0025
CDS,cde_fo,EURINR,1068,OPTCUR,PE,94.25,EURINR,EURINR12JAN24P94.25,EURINR 12th JAN24 94.25 PE,2024-01-12,1,0.0025
CDS,cde_fo,EURINR,1071,OPTCUR,CE,83.5,EURINR,EURINR26JUN24C83.5,EURINR JUN24 83.5 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1072,OPTCUR,CE,97.25,EURINR,EURINR09FEB24C97.25,EURINR 9th FEB24 97.25 CE,2024-02-09,1,0.0025
CDS,cde_fo,EURINR,1073,FUTCUR,XX,-1,EURINR,EURINR28AUG24F,EURINR AUG24 FUT,2024-08-28,1,0.0025
CDS,cde_fo,GBPINR,1074,OPTCUR,CE,107.25,GBPINR,GBPINR12JAN24C107.25,GBPINR 12th JAN24 107.25 CE,2024-01-12,1,0.0025
CDS,cde_fo,EURUSD,1075,FUTCUR,XX,-1,EURUSD,EURUSD28AUG24F,EURUSD AUG24 FUT,2024-08-28,1,0.0001
CDS,cde_fo,EURINR,1076,OPTCUR,PE,84.75,EURINR,EURINR09FEB24P84.75,EURINR 9th FEB24 84.75 PE,2024-02-09,1,0.0025
CDS,cde_fo,GBPINR,1081,OPTCUR,CE,107,GBPINR,GBPINR29JAN24C107,GBPINR JAN24 107 CE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1083,OPTCUR,PE,82.75,EURINR,EURINR27MAR24P82.75,EURINR MAR24 82.75 PE,2024-03-27,1,0.0025
CDS,cde_fo,EURINR,1084,OPTCUR,PE,83.5,EURINR,EURINR26JUN24P83.5,EURINR JUN24 83.5 PE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1085,FUTCUR,XX,-1,EURINR,EURINR22DEC23F,EURINR 22nd DEC FUT,2023-12-22,1,0.0025
CDS,cde_fo,GBPUSD,1086,OPTCUR,CE,1.36,GBPUSD,GBPUSD27DEC23C1.36,GBPUSD DEC 1.36 CE,2023-12-27,1,0.0001
CDS,cde_fo,EURINR,1087,OPTCUR,CE,83,EURINR,EURINR27MAR24C83,EURINR MAR24 83 CE,2024-03-27,1,0.0025
CDS,cde_fo,GBPINR,1089,OPTCUR,PE,107.25,GBPINR,GBPINR12JAN24P107.25,GBPINR 12th JAN24 107.25 PE,2024-01-12,1,0.0025
CDS,cde_fo,JPYINR,1091,OPTCUR,CE,61.5,JPYINR,JPYINR29JAN24C61.5,JPYINR JAN24 61.5 CE,2024-01-29,1,0.0025
CDS,cde_fo,GBPINR,1092,OPTCUR,PE,107,GBPINR,GBPINR29JAN24P107,GBPINR JAN24 107 PE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1093,FUTCUR,XX,-1,EURINR,EURINR27DEC23F,EURINR DEC FUT,2023-12-27,1,0.0025
CDS,cde_fo,EURUSD,1094,FUTCUR,XX,-1,EURUSD,EURUSD27DEC23F,EURUSD DEC FUT,2023-12-27,1,0.0001
CDS,cde_fo,GBPUSD,1095,OPTCUR,CE,1.335,GBPUSD,GBPUSD29JAN24C1.335,GBPUSD JAN24 1.335 CE,2024-01-29,1,0.0001
CDS,cde_fo,GBPUSD,1096,OPTCUR,PE,1.335,GBPUSD,GBPUSD29JAN24P1.335,GBPUSD JAN24 1.335 PE,2024-01-29,1,0.0001
CDS,cde_fo,GBPINR,1098,FUTCUR,XX,-1,GBPINR,GBPINR22DEC23F,GBPINR 22nd DEC FUT,2023-12-22,1,0.0025
CDS,cde_fo,USDJPY,1099,OPTCUR,CE,137.5,USDJPY,USDJPY29JAN24C137.5,USDJPY JAN24 137.5 CE,2024-01-29,1,0.01
