Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,432474,10,1,CRUDEOILM,CRUDEOILM14JUN24C5800,14-JUN-2024,OPTFUT,CE,5800,0.05,
MCX,432475,10,1,CRUDEOILM,CRUDEOILM14JUN24C5750,14-JUN-2024,OPTFUT,CE,5750,0.05,
MCX,432476,10,1,CRUDEOILM,CRUDEOILM14JUN24C5700,14-JUN-2024,OPTFUT,CE,5700,0.05,
MCX,432477,10,1,CRUDEOILM,CRUDEOILM14JUN24C5650,14-JUN-2024,OPTFUT,CE,5650,0.05,
MCX,432478,10,1,CRUDEOILM,CRUDEOILM14JUN24C5600,14-JUN-2024,OPTFUT,CE,5600,0.05,
MCX,432479,10,1,CRUDEOILM,CRUDEOILM14JUN24C5550,14-JUN-2024,OPTFUT,CE,5550,0.05,
MCX,432480,10,1,CRUDEOILM,CRUDEOILM14JUN24C6850,14-JUN-2024,OPTFUT,CE,6850,0.05,
MCX,432481,10,1,CRUDEOILM,CRUDEOILM14JUN24C6900,14-JUN-2024,OPTFUT,CE,6900,0.05,
MCX,432482,10,1,CRUDEOILM,CRUDEOILM14JUN24C6950,14-JUN-2024,OPTFUT,CE,6950,0.05,
MCX,432483,10,1,CRUDEOILM,CRUDEOILM14JUN24C7000,14-JUN-2024,OPTFUT,CE,7000,0.05,
MCX,432484,10,1,CRUDEOILM,CRUDEOILM14JUN24C7050,14-JUN-2024,OPTFUT,CE,7050,0.05,
MCX,432485,10,1,CRUDEOILM,CRUDEOILM14JUN24C7100,14-JUN-2024,OPTFUT,CE,7100,0.05,
MCX,432486,10,1,CRUDEOILM,CRUDEOILM14JUN24C7150,14-JUN-2024,OPTFUT,CE,7150,0.05,
MCX,432487,10,1,CRUDEOILM,CRUDEOILM14JUN24C7200,14-JUN-2024,OPTFUT,CE,7200,0.05,
MCX,432488,10,1,CRUDEOILM,CRUDEOILM14JUN24C7250,14-JUN-2024,OPTFUT,CE,7250,0.05,
MCX,432489,10,1,CRUDEOILM,CRUDEOILM14JUN24C7300,14-JUN-2024,OPTFUT,CE,7300,0.05,
MCX,432490,10,1,CRUDEOILM,CRUDEOILM14JUN24C7350,14-JUN-2024,OPTFUT,CE,7350,0.05,
MCX,432491,10,1,CRUDEOILM,CRUDEOILM14JUN24C7400,14-JUN-2024,OPTFUT,CE,7400,0.05,
MCX,432492,10,1,CRUDEOILM,CRUDEOILM14JUN24C7450,14-JUN-2024,OPTFUT,CE,7450,0.05,
MCX,432493,10,1,CRUDEOILM,CRUDEOILM14JUN24C7500,14-JUN-2024,OPTFUT,CE,7500,0.05,
MCX,432494,10,1,CRUDEOILM,CRUDEOILM14JUN24C7550,14-JUN-2024,OPTFUT,CE,7550,0.05,
MCX,432495,10,1,CRUDEOILM,CRUDEOILM14JUN24C7600,14-JUN-2024,OPTFUT,CE,7600,0.05,
MCX,432496,10,1,CRUDEOILM,CRUDEOILM14JUN24C7650,14-JUN-2024,OPTFUT,CE,7650,0.05,
MCX,432497,10,1,CRUDEOILM,CRUDEOILM14JUN24C7700,14-JUN-2024,OPTFUT,CE,7700,0.05,
MCX,432498,10,1,CRUDEOILM,CRUDEOILM14JUN24C7750,14-JUN-2024,OPTFUT,CE,7750,0.05,
MCX,432499,10,1,CRUDEOILM,CRUDEOILM14JUN24C7800,14-JUN-2024,OPTFUT,CE,7800,0.05,
MCX,432500,10,1,CRUDEOILM,CRUDEOILM14JUN24C7850,14-JUN-2024,OPTFUT,CE,7850,0.05,
MCX,432501,10,1,CRUDEOILM,CRUDEOILM14JUN24C7900,14-JUN-2024,OPTFUT,CE,7900,0.05,
MCX,432502,10,1,CRUDEOILM,CRUDEOILM14JUN24C7950,14-JUN-2024,OPTFUT,CE,7950,0.05,
MCX,432503,10,1,CRUDEOILM,CRUDEOILM14JUN24C8000,14-JUN-2024,OPTFUT,CE,8000,0.05,
MCX,432504,10,1,CRUDEOILM,CRUDEOILM14JUN24C8050,14-JUN-2024,OPTFUT,CE,8050,0.05,
MCX,432505,10,1,CRUDEOILM,CRUDEOILM17JUL24C6750,17-JUL-2024,OPTFUT,CE,6750,0.05,
MCX,432506,10,1,CRUDEOILM,CRUDEOILM17JUL24C6700,17-JUL-2024,OPTFUT,CE,6700,0.05,
MCX,432507,10,1,CRUDEOILM,CRUDEOILM17JUL24C6650,17-JUL-2024,OPTFUT,CE,6650,0.05,
MCX,432508,10,1,CRUDEOILM,CRUDEOILM17JUL24C6600,17-JUL-2024,OPTFUT,CE,6600,0.05,
MCX,432509,10,1,CRUDEOILM,CRUDEOILM17JUL24C6550,17-JUL-2024,OPTFUT,CE,6550,0.05,
MCX,432510,10,1,CRUDEOILM,CRUDEOILM17JUL24C6500,17-JUL-2024,OPTFUT,CE,6500,0.05,
MCX,432511,10,1,CRUDEOILM,CRUDEOILM17JUL24C6450,17-JUL-2024,OPTFUT,CE,6450,0.05,
MCX,432512,10,1,CRUDEOILM,CRUDEOILM17JUL24C6400,17-JUL-2024,OPTFUT,CE,6400,0.05,
MCX,432513,10,1,CRUDEOILM,CRUDEOILM17JUL24C6350,17-JUL-2024,OPTFUT,CE,6350,0.05,
MCX,432514,10,1,CRUDEOILM,CRUDEOILM17JUL24C6300,17-JUL-2024,OPTFUT,CE,6300,0.05,
MCX,432515,10,1,CRUDEOILM,CRUDEOILM17JUL24C6250,17-JUL-2024,OPTFUT,CE,6250,0.05,
MCX,432516,10,1,CRUDEOILM,CRUDEOILM17JUL24C6200,17-JUL-2024,OPTFUT,CE,6200,0.05,
MCX,432517,10,1,CRUDEOILM,CRUDEOILM17JUL24C6150,17-JUL-2024,OPTFUT,CE,6150,0.05,
MCX,432518,10,1,CRUDEOILM,CRUDEOILM17JUL24C6100,17-JUL-2024,OPTFUT,CE,6100,0.05,
MCX,432519,10,1,CRUDEOILM,CRUDEOILM17JUL24C6050,17-JUL-2024,OPTFUT,CE,6050,0.05,
MCX,432520,10,1,CRUDEOILM,CRUDEOILM17JUL24C6000,17-JUL-2024,OPTFUT,CE,6000,0.05,
MCX,432521,10,1,CRUDEOILM,CRUDEOILM17JUL24C5950,17-JUL-2024,OPTFUT,CE,5950,0.05,
MCX,432522,10,1,CRUDEOILM,CRUDEOILM17JUL24C5900,17-JUL-2024,OPTFUT,CE,5900,0.05,
MCX,432523,10,1,CRUDEOILM,CRUDEOILM17JUL24C5850,17-JUL-2024,OPTFUT,CE,5850,0.05,
MCX,432524,10,1,CRUDEOILM,CRUDEOILM17JUL24C5800,17-JUL-2024,OPTFUT,CE,5800,0.05,
MCX,432525,10,1,CRUDEOILM,CRUDEOILM17JUL24C5750,17-JUL-2024,OPTFUT,CE,5750,0.05,
MCX,432526,10,1,CRUDEOILM,CRUDEOILM17JUL24C5700,17-JUL-2024,OPTFUT,CE,5700,0.05,
MCX,432527,10,1,CRUDEOILM,CRUDEOILM17JUL24C5650,17-JUL-2024,OPTFUT,CE,5650,0.05,
MCX,432528,10,1,CRUDEOILM,CRUDEOILM17JUL24C5600,17-JUL-2024,OPTFUT,CE,5600,0.05,
MCX,432529,10,1,CRUDEOILM,CRUDEOILM17JUL24C5550,17-JUL-2024,OPTFUT,CE,5550,0.05,
MCX,432530,10,1,CRUDEOILM,CRUDEOILM17JUL24C6850,17-JUL-2024,OPTFUT,CE,6850,0.05,
