Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,Isin,TickSize,
BSE,958397,1,856REC28,856REC28,F,INE020B08BG8,0.01,
BSE,958394,1,864PFCL33,864PFCL33,F,INE134E08JS9,0.01,
BSE,958393,1,867PFCL28,867PFCL28,F,INE134E08JR1,0.01,
BSE,958385,1,97HFSL28,97HFSL28,F,INE756I08173,0.01,
BSE,958364,1,854REC28,854REC28,F,INE020B08BE3,0.01,
BSE,958356,1,860HUDCL28,860HUDCL28,F,INE031A08616,0.01,
BSE,958354,1,895RIL28,895RIL28,F,INE002A08542,0.01,
BSE,958353,1,9HDFCB28,9HDFCB28,F,INE040A08872,0.01,
BSE,958349,1,911BFL33,911BFL33,F,INE296A08961,0.01,
BSE,958338,1,91LTF28,91LTF28,F,INE691I08529,0.01,
BSE,958332,1,892NABAR33,892NABAR33,F,INE261F08AR8,0.01,
BSE,958313,1,925PCHFL25,925PCHFL25,F,INE641O07185,0.01,
BSE,958312,1,905HDFCB28,905HDFCB28,F,INE040A08732,0.01,
BSE,958311,1,905RIL28,905RIL28,F,INE002A08534,0.01,
BSE,958307,1,895PFC28,895PFC28,F,INE134E08JQ3,0.01,
BSE,958306,1,2EARCL28,2EARCL28,F,INE015L07576,0.01,
BSE,958304,1,1015FEL26,1015FEL26,F,INE623B07933,0.01,
BSE,958300,1,95TBVFL25,95TBVFL25,F,INE502K07138,0.01,
BSE,958291,10,8AHL38,8AHL38,F,INE365D08018,0.01,
BSE,958288,1,950THL25,950THL25,F,INE627Z07040,0.01,
BSE,958287,10,995AKCF25,995AKCF25,F,INE197P07227,0.01,
BSE,958281,10,1015FSC24A,1015FSC24A,F,INE935Q07046,0.01,
BSE,958280,10,1015FSCS24,1015FSCS24,F,INE935Q07038,0.01,
BSE,958278,1,87RECL28,87RECL28,F,INE020B08BC7,0.01,
BSE,958275,10,EELNIFT28,EELNIFT28,F,INE572O07DJ3,0.01,
BSE,958259,1,7432HLFL24,7432HLFL24,F,INE146O08142,0.01,
BSE,958258,1,1270SML26,1270SML26,F,INE982X07267,0.01,
BSE,958257,1,915HFSLPER,915HFSLPER,F,INE756I08165,0.01,
BSE,958246,1,91164YES28,91164YES28,F,INE528G08410,0.01,
BSE,958245,1,985ECL28A,985ECL28A,F,INE804I071Y3,0.01,
BSE,958232,1,847NABAR33,847NABAR33,F,INE261F08AO5,0.01,
BSE,958226,10,1057USB25A,1057USB25A,F,INE735W08020,0.01,
BSE,958219,1,772IGT28,772IGT28,F,INE219X07421,0.01,
BSE,958216,1,990ILFSL25,990ILFSL25,F,INE871D07RQ7,0.01,
BSE,958213,1,9507JFHL28,9507JFHL28,F,INE01A207013,0.01,
BSE,958192,1,95THL25A,95THL25A,F,INE627Z07032,0.01,
BSE,958191,1,863REC28,863REC28,F,INE020B08BB9,0.01,
BSE,958190,100000,1350AFSL25,1350AFSL25,F,INE808K08053,0.01,
BSE,958180,5,1032APCR28,1032APCR28,F,INE01E708057,0.01,
BSE,958179,5,1032APCR27,1032APCR27,F,INE01E708040,0.01,
BSE,958178,5,1032APCR26,1032APCR26,F,INE01E708032,0.01,
BSE,958177,5,1032APCR25,1032APCR25,F,INE01E708024,0.01,
BSE,958176,5,1032APCR24,1032APCR24,F,INE01E708016,0.01,
BSE,958172,1,940HDB99,940HDB99,F,INE756I08157,0.01,
