pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
15524,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY103PE,PE,741GS203624MAY103PE,,80,,,,,,25000,1,1401546600,1000,4,1.03e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,1.9775e+07,1.5375e+07,1,1,2,0,0,1,0,1e+12,0,0,1250
15525,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY103.25CE,CE,741GS203624MAY103.25CE,,80,,,,,,25000,1,1401546600,1000,4,1.0325e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,1.175e+06,575000,1,1,2,0,0,1,0,1e+12,0,0,1250
15526,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY103.25PE,PE,741GS203624MAY103.25PE,,80,,,,,,25000,1,1401546600,1000,4,1.0325e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,2.2e+07,1.745e+07,1,1,2,0,0,1,0,1e+12,0,0,1250
15527,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY103.5CE,CE,741GS203624MAY103.5CE,,80,,,,,,25000,1,1401546600,1000,4,1.035e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,850000,400000,1,1,2,0,0,1,0,1e+12,0,0,1250
15528,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY103.5PE,PE,741GS203624MAY103.5PE,,80,,,,,,25000,1,1401546600,1000,4,1.035e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,2.4325e+07,1.9625e+07,1,1,2,0,0,1,0,1e+12,0,0,1250
15529,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY103.75CE,CE,741GS203624MAY103.75CE,,80,,,,,,25000,1,1401546600,1000,4,1.0375e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,625000,275000,1,1,2,0,0,1,0,1e+12,0,0,1250
8686,XX,cde_fo,OPTIRC,718GS2037,718GS203724DEC102.75CE,CE,718GS203724DEC102.75CE,,84,,,,,,25000,1,1419690600,1000,4,1.0275e+09,CDS,OPTIRC,1419690600,,1419690600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1419638400,1419690600,,,,,,315513000,0,1,0,1,0,7.8e+06,6.2e+06,1,1,2,0,0,1,0,1e+12,0,0,1250
15530,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY103.75PE,PE,741GS203624MAY103.75PE,,80,,,,,,25000,1,1401546600,1000,4,1.0375e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,2.67e+07,2.185e+07,1,1,2,0,0,1,0,1e+12,0,0,1250
15531,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY104CE,CE,741GS203624MAY104CE,,80,,,,,,25000,1,1401546600,1000,4,1.04e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,425000,175000,1,1,2,0,0,1,0,1e+12,0,0,1250
15532,XX,cde_fo,OPTIRC,741GS2036,741GS203624MAY104PE,PE,741GS203624MAY104PE,,80,,,,,,25000,1,1401546600,1000,4,1.04e+09,CDS,OPTIRC,1401546600,,1401546600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401494400,1401546600,,,,,,315513000,0,1,0,1,0,2.9075e+07,2.4175e+07,1,1,2,0,0,1,0,1e+12,0,0,1250
